date,sales
2020-01-01,64
2020-01-02,55
2020-01-03,54
2020-01-04,58
2020-01-05,47
2020-01-06,56
2020-01-07,80
2020-01-08,77
2020-01-09,64
2020-01-10,65
2020-01-11,53
2020-01-12,56
2020-01-13,71
2020-01-14,64
2020-01-15,69
2020-01-16,74
2020-01-17,63
2020-01-18,70
2020-01-19,64
2020-01-20,69
2020-01-21,102
2020-01-22,92
2020-01-23,90
2020-01-24,71
2020-01-25,74
2020-01-26,83
2020-01-27,83
2020-01-28,104
2020-01-29,100
2020-01-30,98
2020-01-31,89
2020-02-01,105
2020-02-02,93
2020-02-03,94
2020-02-04,119
2020-02-05,106
2020-02-06,113
2020-02-07,89
2020-02-08,90
2020-02-09,106
2020-02-10,119
2020-02-11,124
2020-02-12,125
2020-02-13,120
2020-02-14,103
2020-02-15,105
2020-02-16,111
2020-02-17,132
2020-02-18,136
2020-02-19,123
2020-02-20,135
2020-02-21,122
2020-02-22,116
2020-02-23,130
2020-02-24,143
2020-02-25,151
2020-02-26,140
2020-02-27,141
2020-02-28,138
2020-02-29,140
2020-03-01,131
2020-03-02,143
2020-03-03,145
2020-03-04,147
2020-03-05,159
2020-03-06,157
2020-03-07,141
2020-03-08,153
2020-03-09,157
2020-03-10,158
2020-03-11,170
2020-03-12,175
2020-03-13,155
2020-03-14,164
2020-03-15,134
2020-03-16,170
2020-03-17,174
2020-03-18,174
2020-03-19,173
2020-03-20,149
2020-03-21,159
2020-03-22,167
2020-03-23,185
2020-03-24,178
2020-03-25,179
2020-03-26,177
2020-03-27,181
2020-03-28,173
2020-03-29,169
2020-03-30,186
2020-03-31,192
2020-04-01,202
2020-04-02,185
2020-04-03,180
2020-04-04,176
2020-04-05,170
2020-04-06,193
2020-04-07,202
2020-04-08,203
2020-04-09,197
2020-04-10,180
2020-04-11,184
2020-04-12,188
2020-04-13,193
2020-04-14,207
2020-04-15,215
2020-04-16,222
2020-04-17,201
2020-04-18,198
2020-04-19,198
2020-04-20,192
2020-04-21,216
2020-04-22,220
2020-04-23,235
2020-04-24,206
2020-04-25,206
2020-04-26,206
2020-04-27,206
2020-04-28,233
2020-04-29,233
